content_id,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
397,Star Trek: Voyager,1998,7.8,63551,Action.Adventure.Sci-Fi,44,Series,TV-PG,168,None,Mild,None,Mild,Moderate
398,Creepshow,1998,7.1,5933,Fantasy.Horror.Mystery,44,Series,TV-MA,19,Mild,Severe,Severe,Moderate,Severe
399,On Her Majesty's Secret Service,1969,6.7,86280,Action.Adventure.Thriller,142,Film,PG,1,Mild,Moderate,Mild,Mild,Moderate
400,Grown Ups,2010,6,237673,Comedy,102,Film,PG-13,1,Mild,Mild,Mild,Mild,None
401,Fear Street: 1994,2021,6.2,65629,Drama.Horror.Mystery,107,Film,R,1,Mild,Severe,Moderate,Moderate,Moderate
402,Goodfellas,1990,8.7,1074102,Biography.Crime.Drama,146,Film,R,1,Mild,Severe,Severe,Severe,Severe
403,Mom,1990,7.2,31440,Comedy.Drama.Romance,30,Series,TV-14,170,Moderate,None,Mild,Moderate,None
404,Army of Thieves,2021,NULL,NULL,Action.Comedy.Crime,127,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
405,The Big Leap,2021,6.8,899,Comedy.Drama,NULL,Series,TV-14,6,No Rate,No Rate,No Rate,No Rate,No Rate
406,Inglourious Basterds,2009,8.3,1338008,Adventure.Drama.War,153,Film,R,1,Mild,Severe,Severe,Mild,Severe
407,CODA,2021,8.1,21506,Drama.Music,111,Film,PG-13,1,Mild,None,Moderate,Mild,None
408,The Goonies,1985,7.8,256589,Adventure.Comedy.Family,114,Film,PG,1,Mild,Mild,Moderate,Mild,Mild
409,Murder.She Wrote,1985,7,21413,Crime.Drama.Mystery,50,Series,TV-PG,264,None,Mild,Mild,Mild,Mild
410,The Fifth Element,1997,7.7,450359,Action.Adventure.Sci-Fi,126,Film,PG-13,1,Moderate,Mild,Mild,Mild,Mild
411,The L Word: Generation Q,1997,7.4,5061,Drama,55,Series,TV-MA,18,Severe,None,Severe,Severe,Mild
412,Once Upon a Time in America,1984,8.3,330699,Crime.Drama,229,Film,R,1,Severe,Severe,Severe,Severe,Severe
413,Wentworth,1984,8.6,18972,Crime.Drama,45,Series,TV-MA,100,Moderate,Severe,Severe,Severe,Severe
